student,currProb,course,session,priorTutorAction,reward,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,Dim.9,Dim.10,Dim.11,Dim.12,Dim.13,Dim.14,Dim.15,Dim.16,Dim.17,Dim.18,Dim.19,Dim.20,Dim.21,Dim.22,Dim.23,Dim.24,Dim.25,Dim.26,Dim.27,Dim.28,Dim.29,Dim.30,Dim.31,Dim.32,Dim.33,Dim.34,Dim.35,Dim.36,Dim.37,Dim.38,Dim.39,Dim.40,Dim.41,Dim.42,Dim.43,Dim.44,Dim.45,Dim.46,Dim.47,Dim.48,Dim.49,Dim.50
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0,-2.395834986,1.492615503,-2.527743376,-2.099940331,-3.574869955,3.172795945,-0.745215281,2.175304089,-1.044830089,-1.113473736,0.148160813,-1.036617824,-0.147447444,0.217473664,0.069435181,0.207864663,0.360008806,1.115360075,0.367475412,0.688687895,-0.201511708,-0.57727771,0.317076877,-0.760866588,-0.429554166,-0.697416812,1.325880659,-0.281959295,-0.362340324,0.505435692,0.758989152,-0.094634808,0.590754975,1.608184666,0.031552208,-1.395657127,0.344556257,0.450692354,0.211753123,0.545274512,-0.300880486,-0.108227505,-0.185477391,0.908604957,0.989230848,-0.596663515,-0.58015018,-0.814389502,-0.274397572,0.743162285
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0,-4.408127538,0.122143784,0.865143934,1.876561073,1.11731078,2.390162635,-0.314829629,-1.104417305,1.797055915,-1.257260278,-1.584503419,-0.299652306,1.343820595,-0.469955702,1.421380916,1.047524086,-1.648614148,-0.08897178,-0.550734773,-0.30833472,-1.155588074,-0.31093584,0.091518455,-0.345992472,-0.73834321,-0.196779978,1.036152366,-0.11429367,-0.322554241,0.661073955,1.134378141,0.418061528,-0.13380418,0.632501691,0.323348304,0.14919729,0.020706809,0.353320971,-0.179962763,0.224803174,0.279513756,0.216761343,0.015829984,-0.171800598,0.791673999,0.053461226,-0.276293385,-0.083747917,0.021788224,0.390551224
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,2.569220953,3.26194341,-4.670798707,-0.945135944,4.180813901,0.196224633,1.306276586,-1.425961952,-2.625197591,-1.756477757,-0.652591154,0.10068652,-0.483779314,0.359573933,1.954268923,1.561947166,-0.381593514,-1.793529074,-1.381909788,0.430490555,-0.173866759,0.193973255,0.322035435,-1.142682503,-0.629818346,-1.106279847,1.522376237,1.17115723,0.197191307,-0.163203391,-0.366536638,-1.488089735,0.167787423,1.690341423,-0.857515226,-0.733942592,0.339563017,-0.426554817,0.381319484,-0.055580688,0.43235335,0.634469818,0.951228995,0.825723324,-0.212572345,-0.498600818,-1.059552353,0.045515899,-0.279199441,1.550447031
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0,-0.817196578,1.765334572,-1.671986305,-0.269484206,-3.009807873,1.304212991,-0.626656853,0.814287692,-2.539901162,-0.337496264,-2.072048895,-0.15748096,-2.302207755,1.160721881,1.290953504,0.804678735,0.593481459,0.049565296,-0.57186174,2.472615369,-0.385842057,-1.025879957,-0.573917141,0.271101125,-1.50480445,-0.397404627,-0.497162603,-0.255685822,-1.24748277,-0.330899536,-0.667460662,-0.846846839,-0.745417238,-1.108780708,-0.611656547,-0.608975127,-0.032486943,-0.197860629,0.05221248,1.194274492,-0.601809732,0.249369865,0.752768069,1.194925833,0.896633785,-0.955864128,-0.943894764,-0.015889399,-0.219681749,0.023383445
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0,-3.768419788,-1.102066899,1.706841966,2.846043934,0.396271488,1.526100418,-1.096367976,-1.977739177,1.732554684,-0.279897009,-2.348822823,-0.086040298,-0.562300381,-0.080357517,0.692820002,0.027303187,-0.376239012,0.782749375,-1.159251735,0.050736727,-0.237306228,0.241673153,-1.35898529,0.511938867,-0.267091611,-0.439854926,-0.592978533,0.371282861,-0.62668092,-0.607176284,-0.453529404,-0.93610836,-0.311550936,-0.414268959,0.422101697,0.415313715,-0.119722283,0.117875054,-0.311816011,-0.152374279,-0.194622799,0.243766932,0.205991896,-0.238927322,0.534627646,-0.604326317,0.085356202,-0.014676747,0.63661489,-0.94449204
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,1.244106155,1.917601075,-3.892741793,-0.923459438,3.945773351,0.301108506,1.573471447,-0.79475948,-2.312473667,-0.832971532,-1.586892163,0.791444213,-0.778436815,0.208735056,0.608564387,1.371906441,-1.073834688,0.605216153,-2.095404413,1.453273368,-0.847260034,-0.498075927,-1.315060838,0.404383088,-1.860541573,0.050969208,-0.211970313,0.15479077,-0.839600167,-0.285858058,-0.228659952,-2.266656343,-0.436576426,-0.226247215,-1.773894904,0.002327432,-0.284835125,-1.028049031,0.380304992,0.814230476,-0.223696329,0.485549417,1.456021637,0.899745561,0.283656592,-0.391424452,-0.375357181,0.828977475,0.536556264,0.104629356
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0,-2.450759039,1.258656578,-1.937369111,-1.502096241,-2.94834501,2.427370675,0.62437351,1.665820463,-1.947209526,-0.295169897,-3.141977579,0.433775776,-2.19589665,2.502698085,0.233996303,-0.232383728,1.238121208,1.448659162,-0.153940556,1.974516476,0.379257447,-0.932806397,-0.525177812,-0.393194947,-1.158710802,-0.77289018,0.202209993,0.710377536,-1.001739794,0.575884575,0.506027458,-1.342722093,-0.566772021,0.33421435,0.947152605,-1.447811738,0.609546733,-0.30388283,-0.14962046,-0.212798214,-1.084140636,0.386031306,0.064395002,0.270036424,0.098551316,-1.34103127,0.248435227,1.141162235,-0.421527432,0.903954432
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0,-4.020211544,-0.933020991,0.321296649,1.398893139,0.192992185,1.848025113,-0.582705517,-1.899411673,1.115045682,-0.220675858,-3.440200095,0.646915139,0.269177273,0.483358441,1.05295917,-0.181025562,-1.520953604,0.627146174,-1.65628687,0.649281085,-0.257133888,-0.380982071,0.178199578,-0.184825416,-1.09317196,-0.304047638,0.36348804,-0.163023382,-0.490945817,-0.035598753,0.660923195,-0.575262987,-0.466407006,0.970162315,0.190672934,-0.283818865,0.211722083,0.283903605,0.052072641,0.255994893,-0.705352624,-0.334190628,-0.249214786,-0.563203331,-0.441406689,-0.246871898,-0.462880026,0.531094884,-0.825486631,0.603577462
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,3.036755757,2.620089984,-4.99965667,0.474401698,2.715405212,-0.63404453,1.216898349,-0.226663529,-1.529259613,0.15454008,-2.357159213,1.804877045,0.313528828,1.523950119,0.661874667,-0.948231906,-1.278670171,1.180189171,-1.143825964,-0.596795883,0.936775085,0.175988785,0.806139212,0.086691928,-0.904086256,0.692411979,-1.113921179,-0.280209174,-2.169405209,-0.384695499,0.033909065,-2.238380563,0.441045393,-0.512254588,-1.041947684,-0.407248715,0.39069987,0.005957691,0.349525371,0.845195249,0.327670488,0.059186209,0.865223817,0.548484889,-0.557370569,-0.737095068,-0.172755291,0.233600978,-1.243629766,0.365691658
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0,-5.27482986,2.955286116,3.38583028,0.14064357,0.196417152,-1.405525303,0.408444326,3.561497816,-1.603901318,0.819185436,0.491196596,-0.223309403,0.903706863,-0.581116069,-0.36367234,0.882748065,-1.50913311,-0.918036998,2.005909029,-0.000318961,0.539850043,0.239529617,0.308754568,-0.962496384,0.890246053,0.669178822,-0.774929167,0.72440355,-0.293059504,0.434026104,-0.674489783,0.101773677,0.305840642,0.087127401,-0.670552001,-0.103058617,-0.313572841,-1.09773032,0.391272192,-0.224073484,0.075129044,-0.165412008,0.114369209,0.162093406,-0.561107322,0.248726588,1.121939052,-0.123180862,0.05730348,0.081825724
