"","mean","sd"
"tutConceptsToWordsSession",0.0331391070307596,0.00710083512124365
"tutAverageWords",34.6698234221594,9.02281386417206
"tutAverageWordsSession",34.497423717828,9.37940918319453
"tutAverageWordsPS",39.6591926536409,19.5752216686867
"tutAverageWordsSessionPS",39.2183864224733,20.4356873151827
"nDistinctPrincipleInSession",6.12131198995606,2.14207448522719
"nPrincipleInSession",33.1272755806654,22.0151764105588
"problemDifficuly",21.8333333333333,11.1725174060793
"pctCorrect",0.69960010514752,0.427795117919724
"pctOverallCorrect",0.894454369585687,0.0709076551149247
"nCorrectKC",47.9020715630885,41.2409013431668
"nIncorrectKC",5.30618330194601,7.7935175882895
"pctCorrectKC",0.776260104676711,0.445050279727809
"pctOverallCorrectKC",0.944493435185185,0.0596818565300885
"nCorrectKCSession",40.1525423728814,37.0124121277823
"nIncorrectKCSession",4.30743879472693,7.27229793680113
"pctCorrectSession",0.691681170433145,0.450144663365684
"pctCorrectKCSession",0.769281222849969,0.468838973247614
"pctOverallCorrectSession",0.896795959981168,0.073435183940467
"pctOverallCorrectKCSession",0.947289587884495,0.0614633838550756
"nStepSinceLastWrong",29.370527306968,51.9554041668043
"nStepSinceLastWrongKC",45.6644695543001,52.8095862443061
"nWEStepSinceLastWrong",22.6001255492781,51.594304304659
"nWEStepSinceLastWrongKC",31.3425925925926,44.8089845696043
"nStepSinceLastWrongSession",28.5131826741996,49.6286949287292
"nStepSinceLastWrongKCSession",42.1564657878217,49.2212897426691
"nWEStepSinceLastWrongSession",21.8002197112367,49.2165216061627
"nWEStepSinceLastWrongKCSession",28.7975517890772,41.8748365630882
"timeSinceLastWrongStepKC",3692.22441933459,39405.821082295
"nCorrectPSStepSinceLastWrong",6.77040175768989,9.08693859087011
"nCorrectPSStepSinceLastWrongKC",14.3218769617075,19.5154327621133
"nCorrectPSStepSinceLastWrongKCSession",13.3589139987445,18.3579580315084
"pctCorrectPrin",0.582131494036409,0.420925181044534
"pctCorrectPrinSession",0.571153082234777,0.442197375027819
"nStepSinceLastWrongPrin",10.7956685499058,19.8940765943765
"nWEStepSinceLastWrongPrin",7.80696798493409,19.6284214515613
"nStepSinceLastWrongPrinSession",10.463747645951,19.0134675634015
"nWEStepSinceLastWrongPrinSession",7.5108286252354,18.7297119991719
"nCorrectPSStepSinceLastWrongPrin",2.98870056497175,4.31321911314316
"nCorrectPSStepSinceLastWrongPrinSession",2.95291902071563,4.27940125565755
"pctCorrectFirst",0.376679263653484,0.447655678409427
"nStepsSinceLastWrongFirst",3.77605147520402,4.55041046020246
"nWEStepSinceLastWrongFirst",2.17969240426868,3.60786328394123
"nCorrectPSStepSinceLastWrongFirst",1.59635907093534,2.48977931251478
"pctCorrectLastProb",0.555977814814815,0.633073128915936
"pctCorrectLastProbPrin",0.421115086001255,0.61365709818146
"pctCorrectAdd2Select",0.154217856716886,0.698001861653618
"pctCorrectAdd3Select",0.225086324387947,0.80707403081355
"pctCorrectCompSelect",0.712671964846202,0.4892502042221
"pctCorrectCondIndeSelect",-0.913977820464532,0.346166033387486
"pctCorrectDefCondSelect",-0.587672630728186,0.700955972923162
"pctCorrectDeMorSelect",0.0756804339296924,0.711763532583775
"pctCorrectIndeSelect",0.0995867259887006,0.60292102556858
"pctCorrectMutualSelect",0.0212989069365976,0.691637353960516
"pctCorrectAdd2Apply",0.245095734149404,0.731901731516337
"pctCorrectAdd3Apply",0.159209571563089,0.787669844987679
"pctCorrectCompApply",0.718002681889517,0.483305895621321
"pctCorrectCondIndeApply",-0.900204019146265,0.401694585711636
"pctCorrectDefCondApply",-0.554294828311362,0.745976350018688
"pctCorrectDeMorApply",0.202491182988073,0.801151106577961
"pctCorrectIndeApply",0.128824037978657,0.609451297919761
"pctCorrectMutualApply",0.229736866603892,0.797684745790589
"pctCorrectAdd2All",0.237276712335217,0.658890875345063
"pctCorrectAdd3All",0.234178356246077,0.754638356151984
"pctCorrectBayesAll",-0.765698890772128,0.562427574263892
"pctCorrectCompAll",0.727881065599498,0.454510621954497
"pctCorrectCondIndeAll",-0.906732205743879,0.371491467128855
"pctCorrectDefCondAll",-0.554346294099184,0.726133924207079
"pctCorrectDeMorAll",0.194039349654739,0.700768974968957
"pctCorrectIndeAll",0.173294244507219,0.517979033224824
"pctCorrectMutualAll",0.148251473791588,0.716103964865405
"pctCorrectTotTheoAll",-0.432161540646579,0.769632912792352
"pctCorrectSelectMain",0.776260104676711,0.445050279727809
